drug_name,generic_name,indications,dosage,warnings
Benogen 10 sachets,Ferrous + Vitamins B + Folic Acid,علاج فقر الدم بنقص الحديد وتعزيز الطاقة,كيس واحد يومياً مذاب في ماء أو عصير,قد يسبب اضطرابات هضمية. يلوّن البراز. تجنب مع منتجات الألبان
Betaderm 30  gm cream,Betamethasone Valerate,علاج التهابات الجلد التحسسية والأكزيما والصدفية,طبقة رقيقة 2-3 مرات يومياً على المنطقة المصابة,لا تستخدم على الوجه لفترة طويلة. لا تغطِ بضمادات محكمة. تجنب عند الرضع
Betadine 120 ml mouth wash,Povidone Iodine 1%,تطهير الفم والحلق وعلاج التهاب اللثة والقلاع,اشطف بـ 20 مل لمدة 30 ثانية 3-4 مرات يومياً,لا تبتلع. يمنع عند أمراض الغدة الدرقية. تجنب الاستخدام المطول
Betadine 120 ml solution,Povidone Iodine 10%,مطهر لتنظيف الجروح والحروق والجلد قبل العمليات,تطبق على المنطقة المصابة بقطعة قطن أو مباشرة,للاستخدام الخارجي فقط. يمنع عند حساسية اليود وأمراض الدرقية
Betadine 60  g ointment,Povidone Iodine 10%,مطهر لعلاج الجروح والحروق والتقرحات الجلدية,تطبق مباشرة على المنطقة المصابة 1-3 مرات يومياً,للاستخدام الخارجي فقط. لا يستخدم في حالات حساسية اليود
Bivatracin 150 ml spray,Neomycin + Bacitracin + Polymyxin B,علاج وتطهير الجروح البسيطة ومنع العدوى البكتيرية,رش على الجرح من مسافة 15-20 سم مرة إلى مرتين يومياً,للاستخدام الخارجي فقط. لا تستنشق الرذاذ
Bronchicum Elixir 100 ml nan,Thyme + Ivy Extract,علاج السعال وأعراض البرد ومساعدة التخلص من البلغم,ملعقة صغيرة 3 مرات يومياً للبالغين,منتج عشبي طبيعي. استشر الطبيب للأطفال
Bronchopro 100 ml syrup,Ambroxol + Salbutamol,علاج السعال مع ضيق التنفس والبلغم,ملعقة صغيرة إلى كبيرة 3 مرات يومياً حسب العمر,قد يسبب رعشة وتسارع ضربات القلب
Brufen 150 ml syrup,Ibuprofen 100mg/5ml,خافض للحرارة ومسكن للآلام عند الأطفال,الجرعة حسب الوزن كل 6-8 ساعات,يعطى بعد الطعام. يمنع عند أمراض الكلى. لا يعطى للرضع أقل من 6 أشهر
Brufen 30 tablets,Ibuprofen 400mg,مسكن للآلام وخافض للحرارة ومضاد للالتهابات,قرص واحد كل 6-8 ساعات بعد الطعام,يمنع عند قرحة المعدة. احذر عند أمراض الكلى والقلب
C Zinc 30 capsules,Vitamin C + Zinc,تعزيز المناعة وتسريع شفاء الجروح ومضاد أكسدة,كبسولة واحدة يومياً مع الطعام,الجرعات الزائدة من Zinc تقلل امتصاص النحاس
C-Retard 10 capsules,Vitamin C 500mg Slow Release,تعزيز المناعة ومضاد أكسدة وتعويض نقص فيتامين ج,كبسولة واحدة يومياً,الجرعات الزائدة قد تسبب حصى الكلى عند المعرضين
C-vit 15 ml oral drops,Vitamin C Drops,تعويض نقص فيتامين ج عند الرضع والأطفال الصغار,الجرعة حسب العمر. راجع التعليمات أو الطبيب,لا تتجاوز الجرعة الموصى بها للعمر
Candalkan Plus 14 tablets,Candesartan + Hydrochlorothiazide,علاج ضغط الدم المرتفع المصاحب باحتباس الماء,قرص واحد يومياً,يمنع في الحمل. راقب البوتاسيوم والكلى. قد يسبب دواراً
Carbamide 30 g cream,Urea 10-20%,علاج جفاف الجلد الشديد والأكزيما والصدفية وتقشر الجلد,تطبق مرتين يومياً على الجلد الرطب قليلاً,تجنب ملامسة العيون والجروح. قد يسبب لسعة مؤقتة
Catafast 9 sachets,Diclofenac Potassium 50mg,مسكن سريع المفعول للآلام الحادة والدورة الشهرية,كيس واحد مذاب في ماء كل 8 ساعات,يمنع عند قرحة المعدة. احذر مع مرضى الكلى والقلب
Cataflam 20 tablets,Diclofenac Potassium 50mg,مسكن سريع المفعول للآلام والدورة الشهرية وبعد العمليات,قرص واحد 2-3 مرات يومياً قبل الطعام,يمنع عند قرحة المعدة. احذر مع مرضى الكلى والقلب
Ceftriaxone 1 Vial,Ceftriaxone 1g,علاج الالتهابات البكتيرية الشديدة — للاستخدام المستشفوي,حقنة عضلية أو وريدية. الجرعة يحددها الطبيب,يستخدم بوصفة طبية. تجنب عند الحساسية من السيفالوسبورين
Celebrex 15 capsules,Celecoxib 200mg,علاج آلام المفاصل والتهاب المفاصل الروماتيدي والألم الحاد,كبسولة واحدة إلى اثنتين يومياً مع الطعام,احذر عند أمراض القلب. يمنع عند قرحة المعدة
Cemicresto 28 tablets,Rosuvastatin 10-20mg,علاج ارتفاع الكوليسترول والوقاية من أمراض القلب,قرص واحد يومياً في أي وقت,قد يسبب آلام عضلية. راقب وظائف الكبد. يمنع في الحمل
Cetal 60 ml oral suspension,Paracetamol Suspension,خافض للحرارة ومسكن للآلام عند الأطفال الصغار,الجرعة حسب الوزن كل 4-6 ساعات. هزّ جيداً قبل الاستخدام,لا تتجاوز الجرعة. خطر على الكبد عند الجرعات الزائدة
Cetal Sinus 20 capsules,Paracetamol + Pseudoephedrine + Loratadine,علاج أعراض الجيوب الأنفية والبرد والحساسية,كبسولة واحدة كل 12 ساعة,قد يسبب أرقاً وتسارع قلب. يمنع عند ضغط الدم وأمراض القلب
Cholerose 21 tablets,Rosuvastatin + Ezetimibe,علاج ارتفاع الكوليسترول عند عدم كفاية الستاتين منفرداً,قرص واحد يومياً,قد يسبب آلام عضلية. يمنع في الحمل. راقب الكبد
Choletimb 14 tablets,Ezetimibe 10mg,خفض الكوليسترول بتقليل امتصاصه من الأمعاء,قرص واحد يومياً في أي وقت,يستخدم مع الحمية. قد يستخدم مع الستاتين
Ciprodiazole 20 tablets,Ciprofloxacin + Metronidazole,علاج الالتهابات المختلطة المعوية والمسالك البولية,قرص واحد مرتين يومياً لمدة 5-7 أيام,يمنع مع الكحول. تجنب مع منتجات الألبان. يستخدم بوصفة طبية
Ciprofar 10 tablets,Ciprofloxacin 500mg,علاج التهابات المسالك البولية والجهاز الهضمي والجلد,قرص واحد مرتين يومياً لمدة 5-14 يوم,تجنب مع منتجات الألبان والحديد. خطر تمزق الأوتار
Ciprofloxacin Tablets USP 39 10 tablets,Ciprofloxacin 500mg,علاج التهابات بكتيرية متعددة,قرص واحد مرتين يومياً,تجنب مع منتجات الألبان. يمنع مع تاريخ من اضطرابات الأوتار
Clarinase 14 repetabs,Loratadine + Pseudoephedrine,علاج الحساسية الموسمية مع احتقان الأنف,قرص واحد مرتين يومياً,قد يسبب أرقاً. يمنع عند ضغط الدم وأمراض القلب
Claritine 20 tablets,Loratadine 10mg,علاج الحساسية الموسمية والشرى وسيلان الأنف,قرص واحد يومياً,نادراً ما يسبب نعاساً. آمن نسبياً أثناء النهار
Clindasol 20 g gel,Clindamycin 1%,علاج حب الشباب الالتهابي على الوجه والظهر,تطبق طبقة رقيقة على الجلد النظيف الجاف مرة إلى مرتين يومياً,للاستخدام الخارجي. تجنب ملامسة العيون. قد يسبب جفافاً
Comfort Massage Gel 50 gm gel,Menthol + Camphor + Methyl Salicylate,تخفيف آلام العضلات والمفاصل بالتدليك,يُدلَّك بكمية كافية على المنطقة المؤلمة 3-4 مرات يومياً,للاستخدام الخارجي فقط. تجنب الجروح والعيون
Congestal 20 tablets,Paracetamol + Pseudoephedrine + Guaifenesin,علاج أعراض البرد والإنفلونزا والاحتقان,قرص واحد كل 6-8 ساعات,يمنع عند ضغط الدم وأمراض القلب. قد يسبب أرقاً
Conta-flu 20 tablets,Paracetamol + Caffeine + Phenylephrine,علاج أعراض البرد والإنفلونزا والصداع,قرص واحد كل 6-8 ساعات,يمنع عند ضغط الدم. قد يسبب أرقاً بسبب الكافيين
Corasore 25 oral drops,Choline Salicylate,تخفيف ألم تقرحات الفم والتهاب اللثة,ضع 4-6 قطرات على المنطقة المصابة وادلكها 3-4 مرات يومياً,لا تعطَ للأطفال أقل من 6 سنوات
Daflon 30 tablets,Diosmin + Hesperidin,علاج البواسير وقصور الأوردة والأرجل الثقيلة,قرصان يومياً مع الطعام,يحتاج أسابيع لإظهار التأثير الكامل
Daktarin 40 g gel oral,Miconazole 20mg/g,علاج فطريات الفم واللسان والقلاع الفموي,ضع كمية صغيرة 4 مرات يومياً بعد الأكل,احتفظ بالجل في الفم أطول وقت. أكمل الدورة كاملة
Dalacin C 10 capsules,Clindamycin 300mg,علاج التهابات الجلد والأنسجة الرخوة والأسنان,كبسولة واحدة كل 6-8 ساعات مع كوب كامل من الماء,أبلغ طبيبك فوراً عند الإسهال الشديد. خطر التهاب القولون
Davalindi 100 tablets,Metformin 500mg,علاج السكري من النوع الثاني وتحسين حساسية الأنسولين,قرص واحد مرتين إلى ثلاث مرات يومياً مع الطعام,يمنع عند أمراض الكلى الشديدة. أوقفه قبل العمليات
Dentinox nan colic drops,Dimethicone + Lidocaine,تخفيف مغص الرضع وألم التسنين,4-6 قطرات مع كل وجبة. يُمسح على اللثة للتسنين,للاستخدام الشفهي آمن للرضع. لا تتجاوز 6 جرعات يومياً
Diclac 30  gm gel,Diclofenac Sodium 1%,تخفيف آلام العضلات والمفاصل والإصابات الرياضية موضعياً,تطبق 2-4 جرامات 3-4 مرات يومياً وتُدلَّك برفق,للاستخدام الخارجي. تجنب الجروح والعيون
Diclac 75 ID 20 tablets,Diclofenac Sodium 75mg,مسكن للآلام ومضاد للالتهابات للآلام المتوسطة إلى الشديدة,قرص واحد إلى قرصين يومياً مع الطعام,يمنع عند قرحة المعدة. احذر مع مرضى الكلى والقلب
Diflucan 1 capsule,Fluconazole 150mg,علاج العفن المهبلي جرعة واحدة,كبسولة واحدة جرعة فردية,يمنع في الحمل. يتفاعل مع أدوية كثيرة
Diflucan 7 capsules,Fluconazole 50mg,علاج التهابات الفطريات المتكررة والفم والجلد,كبسولة واحدة يومياً لمدة 7 أيام,يمنع في الحمل. يستخدم بوصفة طبية
Ectomethrin 50 ml emulsion,Permethrin 5%,علاج القمل والجرب وحشرات الجلد,يطبق على الجلد ويُترك 8-12 ساعة ثم يُغسل,للاستخدام الخارجي. تجنب العيون. اغسل ملابسك وأغطيتك
Enrich 100 ml syrup,Iron + Vitamins + Zinc,مكمل غذائي لتعزيز نمو الأطفال وتقوية المناعة,ملعقة صغيرة إلى كبيرة يومياً حسب العمر,يلوّن البراز. تجنب مع منتجات الألبان مباشرة
Enrich 30 ml oral drops,Iron + Vitamins Drops,مكمل غذائي للرضع والأطفال الصغار,الجرعة حسب العمر والوزن. راجع التعليمات,يلوّن البراز. تجنب الجرعة الزائدة
Ezamol-C 20 tablets,Paracetamol + Vitamin C,خافض للحرارة ومسكن للآلام مع دعم المناعة,قرص إلى قرصين كل 4-6 ساعات,لا تتجاوز الجرعة. خطر على الكبد
Farcolin 120 ml syrup,Salbutamol Syrup,علاج ضيق التنفس والربو والسعال التشنجي,الجرعة حسب العمر والوزن. راجع التعليمات,قد يسبب رعشة وتسارع ضربات القلب
Fenistil 15 ml oral drops,Dimetindene Maleate,علاج الحساسية والحكة والشرى عند الرضع,الجرعة حسب العمر والوزن. راجع التعليمات,يسبب نعاساً. يمنع عند الرضع حتى الشهر الأول
Feroglobin nan capsules,Iron + Folic Acid + Vitamin B12 + Zinc,علاج وتعويض فقر الدم بنقص الحديد وتعزيز الطاقة,كبسولة واحدة يومياً,يلوّن البراز بالأسود. تجنب مع منتجات الألبان مباشرة
Ferrofol 30 spansules,Ferrous Fumarate + Folic Acid,علاج فقر الدم بنقص الحديد — مناسب للحمل,كبسولة واحدة يومياً,أقل إزعاجاً للمعدة. يلوّن البراز
Flagyl 20 tablets,Metronidazole 250mg,علاج الالتهابات البكتيرية واللاهوائية والطفيليات,قرص إلى قرصين 3 مرات يومياً لمدة 5-10 أيام,يمنع تناول الكحول أثناء العلاج وحتى 48 ساعة بعده
Flector EP 25  gm gel,Diclofenac Epolamine 1.3%,تخفيف آلام العضلات والمفاصل الموضعية,تطبق 2-4 جرامات 3-4 مرات يومياً,للاستخدام الخارجي. تجنب الجروح والعيون
Flix 16 g nasal spray,Fluticasone Propionate 50mcg,علاج التهاب الأنف التحسسي وانسداد الأنف,رشتان في كل فتحة مرة يومياً,تجنب ملامسة العيون. يحتاج أياماً لظهور التأثير الكامل
Floxabact 10 tablets,Ciprofloxacin 750mg,علاج التهابات بكتيرية شديدة — جرعة عالية,قرص واحد مرتين يومياً,يستخدم بوصفة طبية. تجنب مع منتجات الألبان والحديد
Flumox 15 tablets,Amoxicillin 500mg,علاج التهابات الجهاز التنفسي والأذن واللوزتين,قرص واحد كل 8 ساعات لمدة 7-10 أيام,يمنع عند الحساسية من البنسلين
Flumox 16 capsules,Amoxicillin 500mg,علاج التهابات الجهاز التنفسي والأذن والجلد,كبسولة واحدة كل 8 ساعات لمدة 7-10 أيام,يمنع عند الحساسية من البنسلين
Foradil 30 capsules,Formoterol Fumarate 12mcg,علاج الربو المزمن ومرض الانسداد الرئوي — للاستنشاق فقط,كبسولة واحدة للاستنشاق مرتين يومياً,لا تبتلع الكبسولة. لا يستخدم لنوبات الربو الحادة
Free Nose 30 ml nasal spray,Xylometazoline 0.1%,احتقان الأنف الحاد ومساعدة التنفس,رشة إلى رشتين في كل فتحة كل 8-10 ساعات,لا تستخدم لأكثر من 5-7 أيام. الاستخدام المطول يسبب احتقان ارتدادي
Frost 100 ml spray,Methyl Salicylate + Menthol + Camphor,تخفيف آلام العضلات والمفاصل والإصابات الرياضية,رش على المنطقة المؤلمة من مسافة 20 سم 3-4 مرات يومياً,للاستخدام الخارجي. تجنب العيون والجروح
Fucicort 15 g cream,Fusidic Acid + Betamethasone,علاج التهابات الجلد البكتيرية مع الالتهاب والحكة,طبقة رقيقة 2-3 مرات يومياً لمدة أسبوعين كحد أقصى,لا تستخدم على الوجه لفترة طويلة. لا تغطِ بضمادات محكمة
Fucidin 15 g cream,Fusidic Acid 2%,علاج التهابات الجلد البكتيرية المحلية مثل القوباء,طبقة رقيقة 3 مرات يومياً لمدة 7-10 أيام,للاستخدام الخارجي. تجنب العيون. أكمل الدورة كاملة
Fucidin 20 g cream,Fusidic Acid 2%,علاج التهابات الجلد البكتيرية السطحية,طبقة رقيقة 3 مرات يومياً لمدة 7-10 أيام,للاستخدام الخارجي. أكمل الدورة
Fucidin 30 g cream,Fusidic Acid 2%,علاج التهابات الجلد البكتيرية السطحية والقوباء,طبقة رقيقة 3 مرات يومياً لمدة 7-10 أيام,للاستخدام الخارجي. أكمل الدورة كاملة
GTN 50 ml cream,Glyceryl Trinitrate 0.2%,علاج الشق الشرجي المزمن والتشنج العضلي الشرجي,كمية صغيرة على المنطقة الشرجية مرتين يومياً,قد يسبب صداعاً. للاستخدام الخارجي فقط
Gabalepsy 20 capsules,Gabapentin 300mg,علاج ألم الأعصاب والصرع وآلام ما بعد الهربس,كبسولة واحدة 3 مرات يومياً. تزاد تدريجياً,يسبب دواراً ونعاساً. لا تتوقف عنه فجأة
Garamycin 15 g cream,Gentamicin 0.1%,علاج التهابات الجلد البكتيرية السطحية,طبقة رقيقة 3-4 مرات يومياً,للاستخدام الخارجي. لا تستخدم لفترة طويلة
Gengigel nan hydrogel,Hyaluronic Acid,علاج تقرحات الفم والتهاب اللثة وجروح الفم,كمية صغيرة على المنطقة المصابة 3-4 مرات يومياً,آمن للاستخدام الفموي. تجنب الابتلاع الزائد
Glucophage 50 tablets,Metformin 500-1000mg,علاج السكري من النوع الثاني وتحسين حساسية الأنسولين,قرص مع كل وجبة رئيسية. الجرعة يحددها الطبيب,يمنع عند أمراض الكلى. أوقفه قبل العمليات وأشعة التباين
Haemostop 20 tablets,Tranexamic Acid 500mg,إيقاف النزيف الشديد ونزيف الدورة الشهرية,قرص إلى قرصين 3 مرات يومياً لمدة 4-5 أيام,يستخدم بوصفة طبية. خطر جلطات الدم. يمنع عند تاريخ الجلطات
Hemoclar 40 g cream,Heparinoid + Allantoin,علاج البواسير والأوردة المتضخمة وآلام الشرج والحكة,تطبق كمية صغيرة على المنطقة المصابة 2-3 مرات يومياً,للاستخدام الخارجي فقط. تجنب ملامسة العيون
Hibiotic 16 tablets,Amoxicillin + Clavulanic Acid 625mg,علاج التهابات الجهاز التنفسي والجلد والمسالك البولية,قرص واحد كل 12 ساعة مع الطعام,يمنع عند الحساسية من البنسلين. يسبب اضطرابات هضمية
Histazine-1 20 tablets,Chlorpheniramine 4mg,علاج الحساسية والحكة والشرى وأعراض البرد,قرص واحد كل 4-6 ساعات,يسبب نعاساً شديداً. لا تقد السيارة. يمنع عند الجلوكوما
ImmuGuard 14 sachets,Zinc + Vitamin C + Echinacea,تعزيز المناعة والوقاية من البرد والإنفلونزا,كيس واحد يومياً مذاب في ماء,مكمل غذائي. الجرعات الزائدة من الزنك تسبب غثياناً
Ivypront 120 ml syrup,Ivy Leaf Extract,علاج السعال وأعراض التهاب الشعب الهوائية,ملعقة صغيرة إلى كبيرة 3 مرات يومياً حسب العمر,منتج عشبي. قد يسبب تهيجاً معدياً
Janumet 56 tablets,Sitagliptin + Metformin,علاج السكري من النوع الثاني بتأثير مزدوج,قرص إلى قرصين يومياً مع الوجبات,يمنع عند أمراض الكلى. خطر التهاب البنكرياس
Jogel 20  gm oral gel,Benzydamine + Chlorhexidine,تخفيف ألم الفم والتهاب اللثة والأسنان,كمية صغيرة 3-4 مرات يومياً بعد الأكل,للاستخدام الفموي. تجنب الابتلاع الزائد
Jusprin 60 tablets,Acetylsalicylic Acid 100mg,الوقاية من جلطات القلب والمخ,قرص واحد يومياً بعد الطعام,يمنع للأطفال. يمنع عند قرحة المعدة. خطر نزيف
La-vie nan gel,Hyaluronic Acid Gel,ترطيب جفاف الفم وعلاج جفاف الأغشية المخاطية,كمية صغيرة في الفم أو المنطقة الجافة حسب الحاجة,آمن للاستخدام المتكرر
Lactulose 120 ml syrup,Lactulose,علاج الإمساك المزمن وتعديل البكتيريا المعوية,15-45 مل يومياً. عدّل الجرعة حسب الاستجابة,قد يسبب انتفاخاً وغازات في البداية. اشرب ماء كثيراً
Lamifen 15  gm cream,Terbinafine 1%,علاج فطريات الجلد وسعفة القدم والجسم والفخذ,تطبق مرة إلى مرتين يومياً لمدة 1-4 أسابيع,للاستخدام الخارجي. تجنب العيون. أكمل الدورة
Lamisil 15 g cream,Terbinafine 1%,علاج فطريات الجلد وسعفة القدم والجسم,تطبق مرة إلى مرتين يومياً لمدة 1-4 أسابيع,للاستخدام الخارجي. أكمل الدورة حتى بعد تحسن الأعراض
Lovir 10 tablets,Acyclovir 400mg,علاج الهربس الشفوي والتناسلي وجدري الماء,قرصان 3 مرات يومياً لمدة 5-10 أيام,ابدأ مبكراً فور ظهور الأعراض. اشرب ماء كثيراً
Mebo 30 mg ointment,Beta-Sitosterol + Berberine,علاج الحروق وتسريع التئام الجروح وتجديد الجلد,طبقة رقيقة على الجرح أو الحرق مرة إلى مرتين يومياً,للاستخدام الخارجي. لا يحتاج ضمادة عادةً
Megamox 14 tablets,Amoxicillin + Clavulanic Acid 1g,علاج التهابات الجهاز التنفسي والجلد الشديدة,قرص واحد كل 12 ساعة مع الطعام,يمنع عند الحساسية من البنسلين
Micropore nan Tape,Microporous Medical Tape,تثبيت الضمادات والأجهزة الطبية على الجلد الحساس,تُقطع بالحجم المناسب وتُلصق بلطف على الجلد,مناسب للجلد الحساس. تجنب الشد الزائد
Midodrine 20 tablets,Midodrine 2.5-5mg,علاج انخفاض ضغط الدم الانتصابي والإغماء,قرص إلى قرصين 2-3 مرات يومياً. آخر جرعة قبل النوم بساعات,يرفع ضغط الدم. راقب الضغط. يمنع عند ارتفاع الضغط
Miflonide 60 capsules,Budesonide 200mcg,الوقاية من الربو المزمن عبر الاستنشاق,كبسولة للاستنشاق مرتين يومياً,لا تبتلع. للاستنشاق فقط. اشطف فمك بعد الاستنشاق
Milga 40 tablets,Pregabalin 75mg,علاج ألم الأعصاب والصرع والقلق العام,قرص واحد مرتين يومياً. تزاد تدريجياً,يسبب دواراً ونعاساً. خطر الإدمان. لا تتوقف فجأة
Minalax 10 tablets,Bisacodyl 5mg,علاج الإمساك وتفريغ الأمعاء,قرص إلى قرصين قبل النوم,لا تستخدم لأكثر من أسبوع. قد يسبب تقلصات معوية
Motilium 40 tablets,Domperidone 10mg,علاج الغثيان والقيء وتسريع إفراغ المعدة,قرص واحد 3 مرات يومياً قبل الطعام,يستخدم بحذر عند أمراض القلب. لا تتجاوز الجرعة
Mucophylline 125 ml syrup,Theophylline + Bromhexine,علاج الربو والسعال مع البلغم عند الأطفال,الجرعة حسب العمر والوزن. راجع التعليمات,يتفاعل مع أدوية كثيرة
Mucosta 20 tablets,Rebamipide 100mg,حماية وتجديد جدار المعدة وعلاج التهاب المعدة,قرص واحد 3 مرات يومياً,يستخدم بأمان مع مثبطات مضخة البروتون
Multi-Relax 10 mg tablets,Cyclobenzaprine 10mg,علاج تشنج العضلات الحاد والآلام العضلية الهيكلية,قرص واحد 3 مرات يومياً لمدة 2-3 أسابيع فقط,يسبب نعاساً وجفاف الفم. لا تقد السيارة
Mupirax 10 g ointment,Mupirocin 2%,علاج التهابات الجلد البكتيرية والقوباء والدمامل,طبقة رقيقة 3 مرات يومياً لمدة 10 أيام,للاستخدام الخارجي. لا تستخدم لأكثر من 10 أيام
Neurovit 30 tablets,Vitamin B1 + B6 + B12,علاج نقص فيتامينات ب وألم الأعصاب والتنميل,قرص واحد إلى ثلاثة أقراص يومياً,الجرعات العالية من B6 قد تسبب اعتلال الأعصاب
Night and Day 10 tablets,Paracetamol + Pseudoephedrine + Diphenhydramine,علاج أعراض البرد نهاراً وليلاً,قرص نهاري وقرص ليلي كل 12 ساعة,القرص الليلي يسبب نعاساً. لا تقد السيارة بعده
Oracure 30  gm oral gel,Triamcinolone Acetonide 0.1%,علاج تقرحات الفم المؤلمة والتهابات الغشاء المخاطي,كمية صغيرة على التقرحة 2-3 مرات يومياً,لا تحك بلسانك على الجل. تجنب الأكل فوراً بعد التطبيق
Orex 60 ml solution,Benzydamine HCl,تخفيف ألم الحلق والتهابه بالغرغرة,خفف 15 مل في ماء وتغرغر 30 ثانية 3-4 مرات يومياً,لا تبتلع. تجنب عند الحساسية من البنزيدامين
Orovex Delicate 250 ml mouth wash,Chlorhexidine 0.12%,تطهير الفم ومكافحة التهاب اللثة وتقرحات الفم,تغرغر بـ 15 مل 30 ثانية مرتين يومياً,لا تبتلع. قد يلوّن الأسنان عند الاستخدام المطول
Osteocare 120 ml liquid,Calcium + Magnesium + Zinc + Vitamin D,تعزيز صحة العظام وتعويض نقص الكالسيوم,5-10 مل يومياً مع الطعام,الجرعات الزائدة من الكالسيوم قد تسبب حصى الكلى
Pandermal 15 g cream,Dexpanthenol + Zinc Oxide,علاج تهيج الجلد وطفح الحفاضات وتسريع شفاء الجروح,تطبق على الجلد النظيف الجاف مرات عدة يومياً,للاستخدام الخارجي. آمن للرضع والأطفال
Panthenol 20 g cream,Dexpanthenol 5%,ترطيب وتجديد الجلد الجاف وعلاج الجروح البسيطة,تطبق على المنطقة المصابة مرات عدة يومياً,للاستخدام الخارجي. آمن وخالٍ من المواد الضارة
Paramol 20 tablets,Paracetamol + Codeine,مسكن قوي للآلام المتوسطة إلى الشديدة,قرص إلى قرصين كل 4-6 ساعات. لا تتجاوز 8 أقراص يومياً,يحتوي على كودين — قد يسبب إدماناً. يسبب إمساكاً وغثياناً
Pedical nan syrup,Multivitamins + Minerals,مكمل غذائي للأطفال لدعم النمو والمناعة,ملعقة صغيرة يومياً حسب العمر,مكمل غذائي. لا تتجاوز الجرعة
Pentamix 120 ml syrup,Ambroxol + Guaifenesin + Pseudoephedrine + Salbutamol,علاج الكحة المصحوبة ببلغم واحتقان وضيق تنفس,ملعقة صغيرة إلى كبيرة 3 مرات يومياً حسب العمر,يمنع عند ضغط الدم وأمراض القلب
